Dataset;TrainRelease;%Train;TrainDefective;TestDefective;getClassifier;Balancing;FeatureSelection;Tp;Fp;Tn;Fn;Precision;Recall;Roc;Kappa
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;No sampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;No sampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;No sampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;Oversampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;Oversampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;Oversampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;Undersampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;Undersampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;Undersampling;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;SMOTE;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;SMOTE;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;SMOTE;No selection;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;No sampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;No sampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;No sampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;Oversampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;Oversampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;Oversampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;Undersampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;Undersampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;Undersampling;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;RandomForest;SMOTE;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;NaiveBayes;SMOTE;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;1;0.4989247311827957;0.0;0.0;Ibk;SMOTE;Best first;0.0;0.0;97.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;RandomForest;No sampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;NaiveBayes;No sampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;Ibk;No sampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;RandomForest;Oversampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;NaiveBayes;Oversampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;Ibk;Oversampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;RandomForest;Undersampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;NaiveBayes;Undersampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;Ibk;Undersampling;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;RandomForest;SMOTE;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;NaiveBayes;SMOTE;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;Ibk;SMOTE;No selection;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;RandomForest;No sampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;NaiveBayes;No sampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;Ibk;No sampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;RandomForest;Oversampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;NaiveBayes;Oversampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;Ibk;Oversampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;RandomForest;Undersampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
Avro;2;0.49925705794947994;0.0;0.0;NaiveBayes;Undersampling;Best first;0.0;0.0;103.0;0.0;NaN;NaN;NaN;1.0
