Dataset;TrainRelease;%Train;TrainDefective;TestDefective;getClassifier;Balancing;FeatureSelection;Tp;Fp;Tn;Fn;Precision;Recall;Roc;Kappa
Bookkeeper;1;0.4997525977238991;51.0;35.0;RandomForest;No sampling;No selection;1.0;1.0;480.0;34.0;0.5;0.02857142857142857;0.9267894267894268;0.047066272688897744
Bookkeeper;1;0.4997525977238991;51.0;35.0;NaiveBayes;No sampling;No selection;0.0;0.0;481.0;35.0;NaN;0.0;0.784942084942085;0.0
Bookkeeper;1;0.4997525977238991;51.0;35.0;Ibk;No sampling;No selection;0.0;0.0;481.0;35.0;NaN;0.0;0.9275616275616275;0.0
Bookkeeper;1;0.4997525977238991;51.0;35.0;RandomForest;Oversampling;No selection;35.0;140.0;341.0;0.0;0.2;1.0;0.9194832194832195;0.24836125273124524
Bookkeeper;1;0.4997525977238991;51.0;35.0;NaiveBayes;Oversampling;No selection;35.0;140.0;341.0;0.0;0.2;1.0;0.9212949212949213;0.24836125273124524
Bookkeeper;1;0.4997525977238991;51.0;35.0;Ibk;Oversampling;No selection;35.0;163.0;318.0;0.0;0.17676767676767677;1.0;0.9205524205524206;0.2092734657039712
Bookkeeper;1;0.4997525977238991;51.0;35.0;RandomForest;Undersampling;No selection;33.0;98.0;383.0;2.0;0.25190839694656486;0.9428571428571428;0.8638847638847639;0.3253667337813456
Bookkeeper;1;0.4997525977238991;51.0;35.0;NaiveBayes;Undersampling;No selection;33.0;98.0;383.0;2.0;0.25190839694656486;0.9428571428571428;0.8879417879417879;0.3253667337813456
Bookkeeper;1;0.4997525977238991;51.0;35.0;Ibk;Undersampling;No selection;31.0;92.0;389.0;4.0;0.25203252032520324;0.8857142857142857;0.8492426492426493;0.3206615650456676
Bookkeeper;1;0.4997525977238991;51.0;35.0;RandomForest;SMOTE;No selection;12.0;22.0;459.0;23.0;0.35294117647058826;0.34285714285714286;0.9198396198396198;0.301107633036359
Bookkeeper;1;0.4997525977238991;51.0;35.0;NaiveBayes;SMOTE;No selection;1.0;1.0;480.0;34.0;0.5;0.02857142857142857;0.8245322245322245;0.047066272688897744
Bookkeeper;1;0.4997525977238991;51.0;35.0;Ibk;SMOTE;No selection;10.0;20.0;461.0;25.0;0.3333333333333333;0.2857142857142857;0.9195723195723196;0.26145038167938883
Bookkeeper;1;0.4997525977238991;51.0;35.0;RandomForest;No sampling;Best first;1.0;1.0;480.0;34.0;0.5;0.02857142857142857;0.9261954261954262;0.047066272688897744
